uid,name,tile,geometry,priorState,recommendation,reasons,auditFlags,kind,structureType,heightMetres,heightSource,areaM2,inputHash
landsd/226539:0,LA HACIENDA,-1_1,footprint,unassessed,review,source-or-terrain-diagnostic;estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,sampled-roof-partly-below-terrain,shed,Temporary Structure,3.5,estimated,14.9687,c3899f7e5655ad5caa129504f8448944f425a71a17a842f66bb33852602e19c7
landsd/237450:0,,-7_-11,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,20.6162,bae95d5b83f54e2eca18cda94cf7d3e84e19675c088c875c633439d2715bd70c
landsd/224788:0,,-7_-8,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,11.1068,a04e3cacb796b78e3ce8911ed42745a759175687d755754a79a99ae6c3a08d47
landsd/73765:0,,-6_-8,footprint,unassessed,review,source-or-terrain-diagnostic;native-envelope-differs,sampled-base-above-terrain,yes,Tower,4.0,landsd,13.0729,cce5aeeb72f23290c0c4e28a56b46b185c7bddc3a2b20da0ccd8d29d8ac8712a
landsd/36926:0,,-8_-8,footprint,unassessed,review,native-envelope-differs,,yes,Tower,3.5,landsd,22.9273,c87b3310d10f817500bcfe35eb90b51242f39da8f88110413b412d9a47acadd7
landsd/243133:0,,-2_-12,footprint,unassessed,review,native-mesh-complexity-needs-review,,yes,Tower,14.5,landsd,104.8853,80ae8cd58e212abdfe89170f268ce1616519698cd414034dbde8ad512d1c95ba
landsd/61692:0,,3_-15,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,8.3,landsd,64.5533,f5e76736a13e901aa9b6bd1cbb5d4841bae597e7b490531b5b82453c9ec26801
landsd/118340:0,New Cha Kwo Ling Ventilation Building,3_-1,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,12.5,landsd,794.2687,6323eb49a079554de93bdddcc4003126444ca9af52be8bc0c517f7a954c45686
landsd/134264:0,,2_-6,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,22.0521,e6a8c47b4c19e61b8d85268935a33acb5cf06fbf2305b4e5494f8874f2967c79
landsd/123245:0,CARITAS LING YUET SIN KIDERGARTEN,-2_0,footprint,unassessed,likely-skip,ordinary-surveyed-form-small-native-envelope-difference-low-complexity,,commercial,Tower,7.9,landsd,34.0342,1a614c7f09f000e9d779a1b3fbd607a94834e810b14017f052757c4957a63440
landsd/211341:0,,-7_-8,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,15.0956,4ea0b94db8105f22545fe424123182f1e1fb081df316b96316f8464388a994d5
landsd/105795:0,,-2_2,footprint,unassessed,review,source-or-terrain-diagnostic;native-mesh-complexity-needs-review,sampled-roof-partly-below-terrain;sampled-roof-wholly-below-terrain,yes,Tower,4.0,landsd,67.4758,2cad56096af5188c084d3dd4bc70acb358cd810ff549ca4e3f4e0eb9af940b3a
landsd/103061:0,,-5_-9,footprint,unassessed,review,native-mesh-complexity-needs-review,,house,Tower,8.5,landsd,36.9834,344ad0202a7e5da85950b46eeb31a5c1660da43ef06c3e68451c39c44f4af8f3
landsd/98123:0,,2_3,footprint,unassessed,likely-skip,ordinary-surveyed-form-small-native-envelope-difference-low-complexity,,yes,Tower,6.3,landsd,63.9784,e3ed30f2bb3b0687f0fb3cecfccc880ad8d11e9007b81e98f035ac33c6eeeb3d
landsd/138836:0,,-4_-9,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,183.6893,1f6a698810e47d0710e21d91348c0084bcf384f9ba770d6b0258ca68c5ba34e5
landsd/104460:0,,-6_-11,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,house,Tower,9.9,landsd,33.8756,ef42238baea2a1ef44b7d98350cac8a152f8b213c3680fa1918a0f81f2fafc57
landsd/299656:0,,5_-5,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,167.6963,b9059be32bd40a5700054d7800ae8056f569d51180ad854744b6f310d526db9b
landsd/316718:0,,-4_-3,footprint,unassessed,review,source-or-terrain-diagnostic;nonordinary-or-support-form;large-or-tall-form;native-source-missing-or-ambiguous,sampled-roof-partly-below-terrain,roof,Open-sided Structure,5.8,landsd,3994.4771,3102d8b4e291de52ca2e7865836898f3fc6a349192f930550ac5749dc18f5aef
landsd/171953:0,,1_-10,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,industrial,Open-sided Structure,3.0,estimated,420.9249,27342a8dc1e48f355badcdb3634869f27d0c10cda273851f15e4f3e4e3710ed9
landsd/257680:0,SHEK PAI WAN SHOPPING CENTRE,-1_2,footprint,unassessed,review,nonordinary-or-support-form;large-or-tall-form;native-source-missing-or-ambiguous,,yes,Podium,31.1,landsd,12589.0578,815e5a8db82f5121ff3f5546e5852b595198f238e2f9cd3cc496b308c412dc1d
landsd/125742:0,,-5_-12,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,7.6,landsd,43.1169,e2a574df4f046d7552ae18deeddb3e5039bd0d05ed5aada4194773d9ff5dbdee
landsd/176590:0,,2_-14,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,26.9886,d9abdac16cf32f5d5dcb98d45e707cceb0d5bb66116478e74014a933ee825c31
landsd/237151:0,LION BUILDING,-2_-5,footprint,unassessed,review,source-or-terrain-diagnostic;nonordinary-or-support-form;native-envelope-differs;native-mesh-complexity-needs-review,sampled-base-above-terrain,yes,Podium,10.1,landsd,547.4089,4aeacd2fec8b5e62f903bbcc68c4156835ab354a6a6a16d4514e14b773be272e
landsd/34728:0,,3_-7,footprint,unassessed,review,source-or-terrain-diagnostic,sampled-roof-partly-below-terrain;sampled-roof-wholly-below-terrain,house,Tower,4.1,landsd,36.2189,b670c08eb8cf2a560f0f46700e7d0cbf80e80af5c417a37c0dcf1f57f1f33785
landsd/4033:0,Tan Kwai Tsuen (Ying Yin School) Public Toilet,-9_-8,footprint,unassessed,review,native-mesh-complexity-needs-review,,yes,Tower,2.7,landsd,23.8477,a2b61835dcc11cc16818d52cfb9a4a5dedb4e5e226904aaba6efb7e233779990
landsd/137873:0,,-8_-8,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,4.4,landsd,29.2048,b153bfcb66d7c56076eb0a65211eb55ed9af846020fe9f2001a20fdc46bf2227
landsd/60640:0,,-7_-10,footprint,unassessed,review,native-mesh-complexity-needs-review,,house,Tower,9.2,landsd,41.5146,b139a9d17bafa810f8076aafe44ad6d14e7d16d6608026edfc6d6475afcfc706
landsd/317815:0,,-5_-11,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,77.5908,c5490291337ede93acef0aab5aba613cfe4522830468d0d6ec0c998ab6149c9f
landsd/174232:0,Hang Chun Court Carpark,-1_-3,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,19.4,landsd,1231.2138,c34b6eda6671b3b3e6e796e5750a519e2fe4623030709c9941c846efeeb37154
landsd/118959:0,,-6_-11,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,60.0977,04f3571c4867e65929e09201cb44796fb1d996125f791174d4c9eb8ac3f631ef
landsd/303016:0,,-7_-8,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,180.652,72e9eea02878e8be021946e6f59dcb3c2fa35534e834ef15c962e34da74d30a9
landsd/97503:0,,-1_0,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,27.3,landsd,44.1461,acee40c502a05df9622c16bcf89f5b8aaa2ce673999f49750a51efc67c7cb897
landsd/218301:0,Bellagio Mall,-6_-5,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,retail,Tower,20.9,landsd,764.9807,9df3d2ffe6c1e854e833a6c27588c0a3a963a57df911120eb59347f28e510ce1
landsd/273402:0,,-5_-9,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,237.3158,190ab297b7022091c8fbff868707da58a4a4d4b2a4d5a1f2d5b43e071cdee5f6
landsd/61939:0,,-1_-11,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,house,Tower,8.2,landsd,63.4516,a715f38f57719c6d2bad7485769d8011efc4e127b3fb6c8a0e085aa112d1e183
landsd/319280:0,,-7_-7,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,21.3911,b41f37db2d5ae4bc5fd27dc28b0b945932782c4b53b1b0d68464135f10971900
landsd/248567:0,,-9_-10,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,21.3049,f1327d764e52ba879d574ebd49bfc64b59f353f07d19087b9e1a83040594abd6
landsd/271115:0,,0_-13,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,64.8831,774b6995ad16e3fe79e0c98cbaac9c22ba7f08bbe726556e264399e718f86934
landsd/258109:0,Star Villa Block A2,-2_-12,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,house,Tower,15.0,landsd,80.194,1b98055056ba2fb7e19910ae9ea3b3de70997bf45387c5088dbace717dd0dd69
landsd/118166:0,,-5_-12,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,168.6085,2cb2ddb9b1fad4dc9164f7f787e9efe594e3e3aa8f5ae9289400fcaf287a90e3
landsd/206506:0,,-3_3,footprint,unassessed,review,source-or-terrain-diagnostic,sampled-roof-partly-below-terrain;sampled-roof-wholly-below-terrain,yes,Tower,3.5,landsd,13.3052,d7ba5c93983568549d4d5e30e7f09a967e19a24017984037d967445e7c8cb46d
landsd/6710:0,,-7_-9,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,8.2,landsd,16.6095,d9c4defef5f9230082e2aaa0105427b157e23e2cf4a5b13323829f86061661e3
landsd/123153:0,,-5_-8,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,13.6636,2ea67e2948fc14a42c02067560d5d2a639b4e3434a750a16b687b209318b0f46
landsd/117214:0,,-7_-8,footprint,unassessed,review,native-source-missing-or-ambiguous,,yes,Tower,7.0,landsd,20.6221,8141199b6c74bcc5b72e0ba41e84b09cf1df6dd7f8f5a5cface2a5b3ad8582a2
landsd/249116:0,,5_-6,footprint,unassessed,review,source-or-terrain-diagnostic;estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,sampled-roof-partly-below-terrain,shed,Temporary Structure,3.5,estimated,252.9433,6f6eb4d6a6949abc6571977b089e16af2c9e129ff693b16594d6c53c8af240bc
landsd/210812:0,,-9_-8,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,149.8483,e878a0d53cdd969339606ce92ffc1c01194b947a03bcfd7bf1efeb9a5489eaef
landsd/119767:0,Mountain Royal Block 1,-9_-10,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,8.2,landsd,64.6318,05b2894c9a2340c1d86305ab6dd1a03bbf4d035782f838bd8f396c7ff63a4c76
landsd/216982:0,SI YUAN SCHOOL OF THE PRECIOUS BLOO D,-2_-5,footprint,unassessed,likely-skip,ordinary-surveyed-form-small-native-envelope-difference-low-complexity,,yes,Tower,3.3,landsd,20.3715,2862f03911658b965e45f2f7c22f1a6eb0c54d29dff5248280e9222dcb2ddd0a
landsd/56463:0,,-7_-9,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,3.9,landsd,39.1282,de1521717631ab84d06c5913fa9cd3bd705ec2a80d71608274ed25077e909f8a
landsd/15175:0,,-5_-12,footprint,unassessed,review,native-mesh-complexity-needs-review,,yes,Tower,8.6,landsd,70.7889,5ef5b61a10e7d2caf1ca18b925d9bcfe33c2880f0bc4aaa75a6ff5c578883ed4
landsd/219679:0,,-2_-5,footprint,unassessed,review,nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,landsd,7.8942,6534a5edcefdc9fa0e4aa852683eb196d3de1763961c4ad869b5c18851ee2a3e
landsd/150689:0,,-9_-9,footprint,unassessed,review,native-source-missing-or-ambiguous,,yes,Tower,5.0,landsd,30.7796,f066d6230f17ab485cd75c47c12715a985d8b8074916125ad00e86f365c30872
landsd/89331:0,,5_-6,footprint,unassessed,review,source-or-terrain-diagnostic,sampled-roof-partly-below-terrain,yes,Tower,2.7,landsd,27.2348,8014e2d9ca79955e06870f1e02fceb173663577b9767bd051e01a1c008e5601b
landsd/291944:0,Queens Hill Estate Wong Yet House,-1_-12,footprint,unassessed,review,large-or-tall-form;native-envelope-differs;native-mesh-complexity-needs-review,,apartments,Tower,118.5,landsd,1477.9617,a354d4dc027fe6612e885ab9b920b6ec667a4e216a9605cbfff81bdf78b3ac8a
landsd/310039:0,,-13_-6,footprint,unassessed,review,native-envelope-differs,,yes,Tower,8.1,landsd,65.0348,92e133fa4e376262233a28ce0fa89c58ef391cf9c729f802e20c06ee739a40cf
landsd/163805:0,,-5_-11,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,50.8801,655e9192583b8053c5d17feed55d7a1d098b1ade34d589bc63efcca3904ae051
landsd/254913:0,,5_-6,footprint,unassessed,review,source-or-terrain-diagnostic;native-envelope-differs;native-mesh-complexity-needs-review,sampled-roof-partly-below-terrain,yes,Tower,4.0,landsd,41.015,1882fa22a9fcf035c76e41fc680278d0d39bbf18d98910dcbf0f3dcb78c24902
landsd/157156:0,,-2_-12,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,apartments,Tower,10.5,landsd,12.5767,69743b9ada07d8c736582fa04220be989d70e11b81cefa9ced9069592448dd34
landsd/256701:0,THE CHURCH OF CHRIST IN CHINA KUNG LEE COLLEGE,1_0,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,25.6,landsd,174.5505,c7518d591f33369cf642a05e19a24c0db934042875ad6d921edcb4c662b23a10
landsd/322750:0,,-1_-15,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,roof,Open-sided Structure,3.0,estimated,3.907,b4c86e04241b2024949df31b243d41692e4303e0e0aaae4c677899c68bc9cb5b
landsd/51233:0,,-5_-8,footprint,unassessed,review,native-envelope-differs;native-mesh-complexity-needs-review,,yes,Tower,9.2,landsd,64.9507,aaea01997da8138e35eb1acf4f01cf38ce5df7d9bfdd3b47ecd19efa65df8267
landsd/340478:0,,2_-6,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,house,Open-sided Structure,3.0,estimated,7.8863,bc085ccb793d68ac1c4aa717fd2f4145f80c00cb4817f485207b955addc53d8d
landsd/224076:0,,-9_-9,footprint,unassessed,review,estimated-height;nonordinary-or-support-form;native-source-missing-or-ambiguous,,shed,Temporary Structure,3.5,estimated,21.8084,18e6133ee1e754b48eca5c9dd1302ae7b3520acc9372819512358470244a4ef4
