uid,objectId,buildingCSUID,name,nameZh,sectionId,sectionName,tile,centreX,centreZ,baseHeight,height,heightSource,governmentAvailable,sizeGroup,sizeLabel,triangles,modelId,sourceState,sourceHoldReason,compressedBytes,geometryBytes,installation,actionableState
landsd/206589:0,206589,1721414312T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17285.774458,2188.36274,7.9,5.6,landsd,True,xs,XS,62,B172141431201062G0,packed-needs-placement-review,,1332,4188,embedded,installed
landsd/206592:0,206592,1758114295T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16919.86669,2204.359917,4.2,3.9,landsd,True,xs,XS,36,B175811429501062G0,packed-needs-placement-review,,1094,2376,embedded,installed
landsd/206593:0,206593,1767514285T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16825.812366,2212.754875,3.3,7.2,landsd,True,xs,XS,74,B176751428501062G0,packed-needs-placement-review,,1450,5124,embedded,installed
landsd/206595:0,206595,1709014316T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17409.758401,2183.385937,10.8,3.6,landsd,True,xs,XS,32,B170901431601062G0,packed-needs-placement-review,,1043,2280,embedded,installed
landsd/206596:0,206596,1767614308T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16824.927989,2191.646087,3.3,7.7,landsd,True,xs,XS,76,B176761430801062G0,packed-needs-placement-review,,1460,4848,embedded,installed
landsd/206617:0,206617,1744914254T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17050.680687,2245.43602,4.4,3.8,landsd,True,xs,XS,70,B174491425401062G0,packed-needs-placement-review,,1364,4452,embedded,installed
landsd/206625:0,206625,1706814269T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17432.527707,2230.754165,9.9,3.7,landsd,True,xs,XS,28,B170681426901062G0,packed-needs-placement-review,,1003,2040,embedded,installed
landsd/206626:0,206626,1765014276T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16850.245341,2223.080539,3.4,9.4,landsd,True,xs,XS,94,B176501427601062G0,packed-needs-placement-review,,1592,6180,embedded,installed
landsd/206627:0,206627,1738914259T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17111.01971,2240.347056,3.6,2.9,landsd,True,xs,XS,35,B173891425901062G0,packed-needs-placement-review,,1059,2334,embedded,installed
landsd/206739:0,206739,1798813184T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16512.370346,3315.998344,113.8,4.8,landsd,True,xs,XS,65,B179881318401062G0,packed-needs-placement-review,,1374,4458,progressive,installed
landsd/206742:0,206742,1773013293T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16770.640428,3205.441432,65.5,5.4,landsd,True,xs,XS,54,B177301329301062G0,packed-needs-placement-review,,1353,3924,embedded,installed
landsd/206743:0,206743,1774013281T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16760.502034,3216.831444,67.1,4.0,landsd,True,xs,XS,43,B177401328101062G0,packed-needs-placement-review,,1153,2886,embedded,installed
landsd/206744:0,206744,1789113284T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16608.511934,3215.822555,111.7,4.6,landsd,True,xs,XS,10,B178911328401062G0,packed-needs-placement-review,,710,780,embedded,installed
landsd/206747:0,206747,1773513287T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16765.921182,3211.095824,67,3.8,landsd,True,xs,XS,26,B177351328701062G0,packed-needs-placement-review,,1009,1956,embedded,installed
landsd/206749:0,206749,1793013235T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16569.970892,3265.341802,115,4.3,landsd,True,xs,XS,34,B179301323501062G0,packed-needs-placement-review,,1098,2436,embedded,installed
landsd/206752:0,206752,1792813238T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16571.822061,3261.411993,115.4,3.4,landsd,True,xs,XS,41,B179281323801062G0,packed-needs-placement-review,,1208,2946,embedded,installed
landsd/206878:0,206878,1705114271T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17447.039828,2230.240268,9.9,4.1,landsd,True,xs,XS,48,B170511427101062G0,packed-needs-placement-review,,1363,3672,embedded,installed
landsd/206880:0,206880,1755814273T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16942.403185,2227.078005,4.2,3.2,landsd,True,xs,XS,38,B175581427301062G0,packed-needs-placement-review,,1128,2676,embedded,installed
landsd/206881:0,206881,1742314280T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17077.442509,2219.833006,3.6,4.5,landsd,True,xs,XS,79,B174231428001062G0,packed-needs-placement-review,,1623,5838,embedded,installed
landsd/206970:0,206970,1799115626T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16509.587,874.2995,76.5,8.4,landsd,True,xs,XS,10,B179911562601062G0,packed-needs-placement-review,,717,780,progressive,installed
landsd/206972:0,206972,1677815084T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-17722.06599,1415.886977,59.1,4.5,landsd,True,xs,XS,29,B167781508401062G0,packed-needs-placement-review,,1024,2154,progressive,installed
landsd/206975:0,206975,1788015587T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_0,-16620.03408,912.550275,69.3,1.6,landsd,True,xs,XS,10,B178801558701062G0,packed-needs-placement-review,,726,780,progressive,installed
landsd/207117:0,207117,1738414262T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17115.543762,2238.141574,3.2,5.6,landsd,True,xs,XS,85,B173841426201062G0,packed-needs-placement-review,,1848,6162,embedded,installed
landsd/207118:0,207118,1682514274T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17675.49966,2225.828589,14.3,2.1,landsd,True,xs,XS,10,B168251427401062G0,packed-needs-placement-review,,714,780,embedded,installed
landsd/207130:0,207130,1744914260T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17051.700121,2239.438723,4.4,1.8,landsd,True,xs,XS,18,B174491426001062G0,packed-needs-placement-review,,876,1260,embedded,installed
landsd/207348:0,207348,1704614296T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17453.596741,2204.166589,11,3.7,landsd,True,xs,XS,10,B170461429601062G0,packed-needs-placement-review,,724,780,embedded,installed
landsd/207353:0,207353,1768714289T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16813.570805,2207.785216,3.3,7.7,landsd,True,xs,XS,69,B176871428901062G0,packed-needs-placement-review,,1429,4626,embedded,installed
landsd/207354:0,207354,1758214301T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16917.71854,2198.080936,4.1,4.3,landsd,True,xs,XS,13,B175821430101062G0,packed-needs-placement-review,,782,978,embedded,installed
landsd/207355:0,207355,1768014309T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16820.257849,2189.602168,3.5,7.4,landsd,True,xs,XS,67,B176801430901062G0,packed-needs-placement-review,,1348,4038,embedded,installed
landsd/207356:0,207356,1758614295T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16913.6155,2206.1595,4,4.3,landsd,True,xs,XS,18,B175861429501062G0,packed-needs-placement-review,,836,1260,embedded,installed
landsd/207357:0,207357,1673314298T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17766.963224,2201.843276,19,2.3,landsd,True,xs,XS,10,B167331429801062G0,packed-needs-placement-review,,735,780,embedded,installed
landsd/207567:0,207567,1676114287T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17738.797307,2213.359998,16.1,7.1,landsd,True,xs,XS,62,B167611428701062G0,packed-needs-placement-review,,1378,4476,embedded,installed
landsd/207571:0,207571,1706614308T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17433.739742,2192.288972,11.1,4.6,landsd,True,xs,XS,10,B170661430801062G0,packed-needs-placement-review,,725,780,embedded,installed
landsd/207574:0,207574,1703814295T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17461.04711,2206.241571,11,5.9,landsd,True,xs,XS,36,B170381429501062G0,packed-needs-placement-review,,1012,2448,embedded,installed
landsd/207576:0,207576,1766914283T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-16831.577784,2214.870253,3.3,7.2,landsd,True,xs,XS,80,B176691428301062G0,packed-needs-placement-review,,1552,5232,embedded,installed
landsd/207577:0,207577,1711614301T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17382.653899,2199.580464,9.2,6.7,landsd,True,xs,XS,80,B171161430101062G0,packed-needs-placement-review,,1548,5592,embedded,installed
landsd/207579:0,207579,1712014306T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17379.711438,2193.349633,9.1,6.8,landsd,True,xs,XS,22,B171201430601062G0,packed-needs-placement-review,,910,1572,embedded,installed
landsd/207580:0,207580,1723314300T20050430,,,10.6,"Mui Wo, Silvermine Bay and surrounding villages",-9_1,-17267.005942,2199.897125,7.1,4.2,landsd,True,xs,XS,51,B172331430001062G0,packed-needs-placement-review,,1253,3654,embedded,installed
