lon,x_m_from_west,skyline_elevation_m
113.87470099,5114.538,393.072
113.87487276,5132.235,392.265
113.87504453,5149.932,391.602
113.87521631,5167.630,391.083
113.87538808,5185.327,390.711
113.87555985,5203.025,390.485
113.87573163,5220.722,390.406
113.87590340,5238.419,390.472
113.87607517,5256.117,390.681
113.87624695,5273.814,391.030
113.87641872,5291.511,391.513
113.87659049,5309.209,392.126
113.87676227,5326.906,392.859
113.87693404,5344.603,393.706
113.87710581,5362.301,394.655
113.87727759,5379.998,395.697
113.87744936,5397.696,396.822
113.87762113,5415.393,398.021
113.87779291,5433.090,399.284
113.87796468,5450.788,400.603
113.87813645,5468.485,401.969
113.87830822,5486.182,403.374
113.87848000,5503.880,404.810
113.87865177,5521.577,406.266
113.87882354,5539.274,407.730
113.87899532,5556.972,409.192
113.87916709,5574.669,410.637
113.87933886,5592.367,412.054
113.87951064,5610.064,413.429
113.87968241,5627.761,414.749
113.87985418,5645.459,416.002
113.88002596,5663.156,417.178
113.88019773,5680.853,418.266
113.88036950,5698.551,419.258
113.88054128,5716.248,420.145
113.88071305,5733.945,420.921
113.88088482,5751.643,421.579
113.88105660,5769.340,422.115
113.88122837,5787.038,422.526
113.88140014,5804.735,422.811
113.88157192,5822.432,422.973
113.88174369,5840.130,423.013
113.88191546,5857.827,422.935
113.88208724,5875.524,422.743
113.88225901,5893.222,422.440
113.88243078,5910.919,422.032
113.88260255,5928.616,421.524
113.88277433,5946.314,420.926
113.88294610,5964.011,420.245
113.88311787,5981.709,419.491
113.88328965,5999.406,418.672
113.88346142,6017.103,417.798
113.88363319,6034.801,416.877
113.88380497,6052.498,415.914
113.88397674,6070.195,414.916
113.88414851,6087.893,413.885
113.88432029,6105.590,412.826
113.88449206,6123.287,411.741
113.88466383,6140.985,410.632
113.88483561,6158.682,409.501
113.88500738,6176.380,408.347
113.88517915,6194.077,407.170
113.88535093,6211.774,405.968
113.88552270,6229.472,404.740
113.88569447,6247.169,403.483
113.88586625,6264.866,402.197
113.88603802,6282.564,400.882
113.88620979,6300.261,399.537
113.88638157,6317.958,398.161
113.88655334,6335.656,396.755
113.88672511,6353.353,395.319
113.88689689,6371.051,393.854
113.88706866,6388.748,392.361
113.88724043,6406.445,390.841
113.88741220,6424.143,389.295
113.88758398,6441.840,387.726
113.88775575,6459.537,386.135
113.88792752,6477.235,384.525
113.88809930,6494.932,382.897
113.88827107,6512.629,381.254
113.88844284,6530.327,379.598
113.88861462,6548.024,377.935
113.88878639,6565.722,376.267
113.88895816,6583.419,374.600
113.88912994,6601.116,372.939
113.88930171,6618.814,371.291
113.88947348,6636.511,369.661
113.88964526,6654.208,368.058
113.88981703,6671.906,366.490
113.88998880,6689.603,364.966
113.89016058,6707.300,363.495
113.89033235,6724.998,362.089
113.89050412,6742.695,360.757
113.89067590,6760.392,359.510
113.89084767,6778.090,358.359
113.89101944,6795.787,357.314
113.89119122,6813.485,356.382
113.89136299,6831.182,355.571
113.89153476,6848.879,354.888
113.89170654,6866.577,354.339
113.89187831,6884.274,353.929
113.89205008,6901.971,353.665
113.89222185,6919.669,353.552
113.89239363,6937.366,353.594
113.89256540,6955.063,353.797
113.89273717,6972.761,354.163
113.89290895,6990.458,354.698
113.89308072,7008.156,355.404
113.89325249,7025.853,356.286
113.89342427,7043.550,357.345
113.89359604,7061.248,358.586
113.89376781,7078.945,360.007
113.89393959,7096.642,361.611
113.89411136,7114.340,363.394
113.89428313,7132.037,365.354
113.89445491,7149.734,367.487
113.89462668,7167.432,369.787
113.89479845,7185.129,372.248
113.89497023,7202.827,374.861
113.89514200,7220.524,377.618
113.89531377,7238.221,380.511
113.89548555,7255.919,383.528
113.89565732,7273.616,386.659
113.89582909,7291.313,389.892
113.89600087,7309.011,393.215
113.89617264,7326.708,396.613
113.89634441,7344.405,400.074
113.89651618,7362.103,403.585
113.89668796,7379.800,407.132
113.89685973,7397.498,410.706
113.89703150,7415.195,414.295
113.89720328,7432.892,417.893
113.89737505,7450.590,421.491
113.89754682,7468.287,425.084
113.89771860,7485.984,428.664
113.89789037,7503.682,432.227
113.89806214,7521.379,435.768
113.89823392,7539.076,439.283
113.89840569,7556.774,442.769
113.89857746,7574.471,446.221
113.89874924,7592.169,449.637
113.89892101,7609.866,453.014
113.89909278,7627.563,456.347
113.89926456,7645.261,459.635
113.89943633,7662.958,462.873
113.89960810,7680.655,466.058
113.89977988,7698.353,469.189
113.89995165,7716.050,472.263
113.90012342,7733.747,475.279
113.90029520,7751.445,478.237
113.90046697,7769.142,481.138
113.90063874,7786.840,483.982
113.90081052,7804.537,486.771
113.90098229,7822.234,489.506
113.90115406,7839.932,492.188
113.90132583,7857.629,494.820
113.90149761,7875.326,497.405
113.90166938,7893.024,499.947
113.90184115,7910.721,502.450
113.90201293,7928.418,504.918
113.90218470,7946.116,507.357
113.90235647,7963.813,509.772
113.90252825,7981.511,512.171
113.90270002,7999.208,514.559
113.90287179,8016.905,516.947
113.90304357,8034.603,519.341
113.90321534,8052.300,521.749
113.90338711,8069.997,524.182
113.90355889,8087.695,526.647
113.90373066,8105.392,529.154
113.90390243,8123.089,531.710
113.90407421,8140.787,534.324
113.90424598,8158.484,537.004
113.90441775,8176.181,539.758
113.90458953,8193.879,542.595
113.90476130,8211.576,545.522
113.90493307,8229.274,548.545
113.90510485,8246.971,551.670
113.90527662,8264.668,554.901
113.90544839,8282.366,558.241
113.90562016,8300.063,561.690
113.90579194,8317.760,565.251
113.90596371,8335.458,568.921
113.90613548,8353.155,572.697
113.90630726,8370.852,576.575
113.90647903,8388.550,580.547
113.90665080,8406.247,584.605
113.90682258,8423.945,588.739
113.90699435,8441.642,592.938
113.90716612,8459.339,597.187
113.90733790,8477.037,601.474
113.90750967,8494.734,605.782
113.90768144,8512.431,610.096
113.90785322,8530.129,614.400
113.90802499,8547.826,618.675
113.90819676,8565.523,622.904
113.90836854,8583.221,627.070
113.90854031,8600.918,631.158
113.90871208,8618.616,635.154
113.90888386,8636.313,639.044
113.90905563,8654.010,642.818
113.90922740,8671.708,646.463
113.90939918,8689.405,649.973
113.90957095,8707.102,653.338
